Region,County,First Dose,Series Complete,Report as of
Mid-Hudson,Sullivan,8644,5330,03/03/2021
Southern Tier,Tioga,6690,3321,03/03/2021
Southern Tier,Tompkins,18237,9106,03/03/2021
Mid-Hudson,Ulster,27512,13965,03/03/2021
Capital Region,Warren,13735,7174,03/03/2021
Capital Region,Washington,8915,4651,03/03/2021
Finger Lakes,Wayne,13104,7590,03/03/2021
Mid-Hudson,Westchester,171642,99339,03/03/2021
Finger Lakes,Wyoming,5399,3238,03/03/2021
Finger Lakes,Yates,4344,2148,03/03/2021
Capital Region,Albany,61343,33633,03/04/2021
Western New York,Allegany,5003,2454,03/04/2021
New York City,Bronx,133450,75341,03/04/2021
Southern Tier,Broome,40248,23082,03/04/2021
Western New York,Cattaraugus,10548,5233,03/04/2021
Central New York,Cayuga,14529,7763,03/04/2021
Western New York,Chautauqua,19823,10067,03/04/2021
Southern Tier,Chemung,11752,7861,03/04/2021
Southern Tier,Chenango,7393,3759,03/04/2021
North Country,Clinton,21799,12550,03/04/2021
Capital Region,Columbia,11315,5592,03/04/2021
Central New York,Cortland,7860,3937,03/04/2021
Southern Tier,Delaware,6306,2546,03/04/2021
Mid-Hudson,Dutchess,43209,21213,03/04/2021
Western New York,Erie,157383,94880,03/04/2021
North Country,Essex,9660,5466,03/04/2021
North Country,Franklin,12377,6827,03/04/2021
Mohawk Valley,Fulton,7869,4456,03/04/2021
Finger Lakes,Genesee,9199,5194,03/04/2021
Capital Region,Greene,6788,3312,03/04/2021
North Country,Hamilton,1927,1292,03/04/2021
Mohawk Valley,Herkimer,12010,6806,03/04/2021
North Country,Jefferson,20094,10772,03/04/2021
New York City,Kings,295939,138845,03/04/2021
North Country,Lewis,4663,2620,03/04/2021
Finger Lakes,Livingston,10535,6798,03/04/2021
Central New York,Madison,14200,7513,03/04/2021
Finger Lakes,Monroe,132531,77435,03/04/2021
Mohawk Valley,Montgomery,9194,4951,03/04/2021
Long Island,Nassau,282000,162164,03/04/2021
New York City,New York,321042,174821,03/04/2021
Western New York,Niagara,33075,19761,03/04/2021
Mohawk Valley,Oneida,46990,27463,03/04/2021
Central New York,Onondaga,100548,59195,03/04/2021
Finger Lakes,Ontario,22039,12095,03/04/2021
Mid-Hudson,Orange,43998,22602,03/04/2021
Finger Lakes,Orleans,4856,2629,03/04/2021
Central New York,Oswego,20199,11301,03/04/2021
Mohawk Valley,Otsego,10986,6402,03/04/2021
Mid-Hudson,Putnam,16715,8582,03/04/2021
New York City,Queens,333423,155361,03/04/2021
Capital Region,Rensselaer,28318,17181,03/04/2021
New York City,Richmond,83970,44669,03/04/2021
Mid-Hudson,Rockland,53587,30539,03/04/2021
Capital Region,Saratoga,47485,25525,03/04/2021
Capital Region,Schenectady,30744,15515,03/04/2021
Mohawk Valley,Schoharie,4249,2098,03/04/2021
Southern Tier,Schuyler,3173,1740,03/04/2021
Finger Lakes,Seneca,5601,2996,03/04/2021
North Country,St. Lawrence,26808,16976,03/04/2021
Southern Tier,Steuben,11586,6768,03/04/2021
Long Island,Suffolk,238078,129252,03/04/2021
Mid-Hudson,Sullivan,9171,5343,03/04/2021
Southern Tier,Tioga,6869,3408,03/04/2021
Southern Tier,Tompkins,19094,9184,03/04/2021
Mid-Hudson,Ulster,29802,14140,03/04/2021
Capital Region,Warren,14411,7348,03/04/2021
Capital Region,Washington,9439,4742,03/04/2021
Finger Lakes,Wayne,14011,7727,03/04/2021
Mid-Hudson,Westchester,179120,101446,03/04/2021
Finger Lakes,Wyoming,5706,3344,03/04/2021
Finger Lakes,Yates,4756,2192,03/04/2021
Capital Region,Albany,63437,34325,03/05/2021
Western New York,Allegany,5979,2953,03/05/2021
New York City,Bronx,139353,78232,03/05/2021
Southern Tier,Broome,41488,23678,03/05/2021
Western New York,Cattaraugus,11072,5616,03/05/2021
Central New York,Cayuga,15385,7919,03/05/2021
Western New York,Chautauqua,21612,10348,03/05/2021
Southern Tier,Chemung,12386,7947,03/05/2021
Southern Tier,Chenango,7955,4119,03/05/2021
North Country,Clinton,22475,13156,03/05/2021
Capital Region,Columbia,11760,5775,03/05/2021
Central New York,Cortland,8089,3995,03/05/2021
Southern Tier,Delaware,6479,2789,03/05/2021
Mid-Hudson,Dutchess,45480,21874,03/05/2021
Western New York,Erie,163327,97918,03/05/2021
North Country,Essex,10061,5624,03/05/2021
North Country,Franklin,12771,7060,03/05/2021
Mohawk Valley,Fulton,8127,4500,03/05/2021
Finger Lakes,Genesee,9568,5522,03/05/2021
Capital Region,Greene,7072,3600,03/05/2021
North Country,Hamilton,1935,1298,03/05/2021
Mohawk Valley,Herkimer,12297,7030,03/05/2021
North Country,Jefferson,20711,10895,03/05/2021
New York City,Kings,308125,144191,03/05/2021
North Country,Lewis,4866,2873,03/05/2021
Finger Lakes,Livingston,11011,6892,03/05/2021
Central New York,Madison,15031,7665,03/05/2021
Finger Lakes,Monroe,139313,79504,03/05/2021
Mohawk Valley,Montgomery,9468,5002,03/05/2021
Long Island,Nassau,292486,166204,03/05/2021
New York City,New York,333646,179034,03/05/2021
Western New York,Niagara,34081,20189,03/05/2021
Mohawk Valley,Oneida,48857,28244,03/05/2021
Central New York,Onondaga,104535,60546,03/05/2021
Finger Lakes,Ontario,23393,12615,03/05/2021
Mid-Hudson,Orange,47528,23056,03/05/2021
Finger Lakes,Orleans,4986,2720,03/05/2021
Central New York,Oswego,20731,11636,03/05/2021
Mohawk Valley,Otsego,11284,6556,03/05/2021
Mid-Hudson,Putnam,18094,8912,03/05/2021
New York City,Queens,348819,161513,03/05/2021
Capital Region,Rensselaer,29992,17650,03/05/2021
New York City,Richmond,87019,46022,03/05/2021
Mid-Hudson,Rockland,56191,31160,03/05/2021
Capital Region,Saratoga,49827,26291,03/05/2021
Capital Region,Schenectady,32126,15894,03/05/2021
Mohawk Valley,Schoharie,4398,2256,03/05/2021
Southern Tier,Schuyler,3334,1826,03/05/2021
Finger Lakes,Seneca,5818,3054,03/05/2021
North Country,St. Lawrence,27721,17580,03/05/2021
Southern Tier,Steuben,12041,6872,03/05/2021
Long Island,Suffolk,247772,133523,03/05/2021
Mid-Hudson,Sullivan,10199,5467,03/05/2021
Southern Tier,Tioga,7214,3582,03/05/2021
Southern Tier,Tompkins,20811,9310,03/05/2021
Mid-Hudson,Ulster,32040,14896,03/05/2021
Capital Region,Warren,14911,7492,03/05/2021
Capital Region,Washington,9786,4821,03/05/2021
Finger Lakes,Wayne,14822,7976,03/05/2021
Mid-Hudson,Westchester,187423,103811,03/05/2021
Finger Lakes,Wyoming,5960,3485,03/05/2021
Finger Lakes,Yates,4910,2255,03/05/2021
Capital Region,Albany,66235,34807,03/06/2021
Western New York,Allegany,6398,3271,03/06/2021
New York City,Bronx,144327,80777,03/06/2021
Southern Tier,Broome,42196,24072,03/06/2021
Western New York,Cattaraugus,11617,6018,03/06/2021
Central New York,Cayuga,15788,8134,03/06/2021
Western New York,Chautauqua,22236,10728,03/06/2021
Southern Tier,Chemung,12540,7989,03/06/2021
Southern Tier,Chenango,8095,4169,03/06/2021
North Country,Clinton,22907,13319,03/06/2021
Capital Region,Columbia,12309,5906,03/06/2021
Central New York,Cortland,8734,4069,03/06/2021
Southern Tier,Delaware,6747,2855,03/06/2021
Mid-Hudson,Dutchess,48041,22829,03/06/2021
Western New York,Erie,169421,100861,03/06/2021
North Country,Essex,10357,5699,03/06/2021
North Country,Franklin,13041,7129,03/06/2021
Mohawk Valley,Fulton,8339,4573,03/06/2021
Finger Lakes,Genesee,10190,5753,03/06/2021
Capital Region,Greene,7331,3668,03/06/2021
North Country,Hamilton,2002,1392,03/06/2021
Mohawk Valley,Herkimer,12732,7184,03/06/2021
North Country,Jefferson,21118,11142,03/06/2021
New York City,Kings,319546,148835,03/06/2021
North Country,Lewis,4931,2886,03/06/2021
Finger Lakes,Livingston,11230,6964,03/06/2021
Central New York,Madison,15532,7864,03/06/2021
Finger Lakes,Monroe,144746,81383,03/06/2021
Mohawk Valley,Montgomery,9692,5068,03/06/2021
Long Island,Nassau,303721,171168,03/06/2021
New York City,New York,346318,183342,03/06/2021
Western New York,Niagara,35414,20782,03/06/2021
Mohawk Valley,Oneida,51552,29010,03/06/2021
Central New York,Onondaga,108086,62155,03/06/2021
Finger Lakes,Ontario,24092,12982,03/06/2021
Mid-Hudson,Orange,50415,25239,03/06/2021
Finger Lakes,Orleans,5299,2834,03/06/2021
Central New York,Oswego,21921,12134,03/06/2021
Mohawk Valley,Otsego,11607,6684,03/06/2021
Mid-Hudson,Putnam,19155,9228,03/06/2021
New York City,Queens,363899,168304,03/06/2021
Capital Region,Rensselaer,31422,17863,03/06/2021
New York City,Richmond,90176,47416,03/06/2021
Mid-Hudson,Rockland,57913,32154,03/06/2021
Capital Region,Saratoga,51823,26913,03/06/2021
Capital Region,Schenectady,33294,16153,03/06/2021
Mohawk Valley,Schoharie,4506,2299,03/06/2021
Southern Tier,Schuyler,3432,1840,03/06/2021
Finger Lakes,Seneca,5914,3106,03/06/2021
North Country,St. Lawrence,28377,17748,03/06/2021
Southern Tier,Steuben,12409,6935,03/06/2021
Long Island,Suffolk,257668,138074,03/06/2021
Mid-Hudson,Sullivan,10573,5690,03/06/2021
Southern Tier,Tioga,7413,3660,03/06/2021
Southern Tier,Tompkins,22025,9478,03/06/2021
Mid-Hudson,Ulster,34247,15307,03/06/2021
Capital Region,Warren,15603,7865,03/06/2021
Capital Region,Washington,10296,5036,03/06/2021
Finger Lakes,Wayne,15759,8255,03/06/2021
Mid-Hudson,Westchester,195027,106678,03/06/2021
Finger Lakes,Wyoming,6141,3541,03/06/2021
Finger Lakes,Yates,5171,2402,03/06/2021
Capital Region,Albany,68073,35612,03/07/2021
Western New York,Allegany,6690,3539,03/07/2021
New York City,Bronx,146090,82191,03/07/2021
Southern Tier,Broome,42839,24506,03/07/2021
Western New York,Cattaraugus,11989,6317,03/07/2021
Central New York,Cayuga,16143,8358,03/07/2021
Western New York,Chautauqua,22576,10979,03/07/2021
Southern Tier,Chemung,12666,8033,03/07/2021
Southern Tier,Chenango,8176,4211,03/07/2021
North Country,Clinton,23364,13473,03/07/2021
Capital Region,Columbia,12632,6022,03/07/2021
Central New York,Cortland,8907,4177,03/07/2021
Southern Tier,Delaware,6868,2908,03/07/2021
Mid-Hudson,Dutchess,50109,23539,03/07/2021
Western New York,Erie,174254,102800,03/07/2021
North Country,Essex,10547,5796,03/07/2021
North Country,Franklin,13255,7216,03/07/2021
Mohawk Valley,Fulton,8487,4610,03/07/2021
Finger Lakes,Genesee,10575,5944,03/07/2021
Capital Region,Greene,7523,3746,03/07/2021
North Country,Hamilton,2041,1397,03/07/2021
Mohawk Valley,Herkimer,12899,7338,03/07/2021
North Country,Jefferson,21350,11385,03/07/2021
New York City,Kings,327720,152466,03/07/2021
North Country,Lewis,4957,2903,03/07/2021
Finger Lakes,Livingston,11586,7045,03/07/2021
Central New York,Madison,15888,8051,03/07/2021
Finger Lakes,Monroe,149750,82639,03/07/2021
Mohawk Valley,Montgomery,9899,5108,03/07/2021
Long Island,Nassau,312532,175280,03/07/2021
New York City,New York,354093,187469,03/07/2021
Western New York,Niagara,36154,21079,03/07/2021
Mohawk Valley,Oneida,52691,29939,03/07/2021
Central New York,Onondaga,111664,64003,03/07/2021
Finger Lakes,Ontario,24766,13240,03/07/2021
Mid-Hudson,Orange,53182,27442,03/07/2021
Finger Lakes,Orleans,5438,2921,03/07/2021
Central New York,Oswego,23303,12844,03/07/2021
Mohawk Valley,Otsego,12311,6757,03/07/2021
Mid-Hudson,Putnam,19662,9501,03/07/2021
New York City,Queens,374922,172777,03/07/2021
Capital Region,Rensselaer,32637,18067,03/07/2021
New York City,Richmond,92061,48649,03/07/2021
Mid-Hudson,Rockland,59753,32723,03/07/2021
Capital Region,Saratoga,53614,27451,03/07/2021
Capital Region,Schenectady,34278,16528,03/07/2021
Mohawk Valley,Schoharie,4586,2342,03/07/2021
Southern Tier,Schuyler,3641,1862,03/07/2021
Finger Lakes,Seneca,5992,3169,03/07/2021
North Country,St. Lawrence,28802,17913,03/07/2021
Southern Tier,Steuben,12769,7001,03/07/2021
Long Island,Suffolk,263679,140840,03/07/2021
Mid-Hudson,Sullivan,10796,5796,03/07/2021
Southern Tier,Tioga,7521,3756,03/07/2021
Southern Tier,Tompkins,22593,10068,03/07/2021
Mid-Hudson,Ulster,35439,15679,03/07/2021
Capital Region,Warren,16486,7979,03/07/2021
Capital Region,Washington,11205,5097,03/07/2021
Finger Lakes,Wayne,16152,8373,03/07/2021
Mid-Hudson,Westchester,200288,109043,03/07/2021
Finger Lakes,Wyoming,6197,3568,03/07/2021
Finger Lakes,Yates,5403,2539,03/07/2021
Capital Region,Albany,70668,36264,03/08/2021
Western New York,Allegany,7062,3783,03/08/2021
New York City,Bronx,150224,83678,03/08/2021
Southern Tier,Broome,44114,25237,03/08/2021
Western New York,Cattaraugus,12496,6690,03/08/2021
Central New York,Cayuga,16528,8755,03/08/2021
Western New York,Chautauqua,24242,11361,03/08/2021
Southern Tier,Chemung,13102,8141,03/08/2021
Southern Tier,Chenango,8427,4312,03/08/2021
North Country,Clinton,23907,13756,03/08/2021
Capital Region,Columbia,13016,6133,03/08/2021
Central New York,Cortland,9168,4449,03/08/2021
Southern Tier,Delaware,7201,3000,03/08/2021
Mid-Hudson,Dutchess,52784,24341,03/08/2021
Western New York,Erie,180610,104724,03/08/2021
North Country,Essex,10802,5960,03/08/2021
North Country,Franklin,13549,7392,03/08/2021
Mohawk Valley,Fulton,8693,4665,03/08/2021
Finger Lakes,Genesee,10952,6109,03/08/2021
Capital Region,Greene,8155,3854,03/08/2021
North Country,Hamilton,2045,1404,03/08/2021
Mohawk Valley,Herkimer,13236,7618,03/08/2021
North Country,Jefferson,21688,11763,03/08/2021
New York City,Kings,337368,156806,03/08/2021
North Country,Lewis,5019,2984,03/08/2021
Finger Lakes,Livingston,11841,7139,03/08/2021
Central New York,Madison,16484,8424,03/08/2021
Finger Lakes,Monroe,155331,84109,03/08/2021
Mohawk Valley,Montgomery,10177,5196,03/08/2021
Long Island,Nassau,322509,179531,03/08/2021
New York City,New York,363399,191810,03/08/2021
Western New York,Niagara,37237,21467,03/08/2021
Mohawk Valley,Oneida,54197,31056,03/08/2021
Central New York,Onondaga,115588,66783,03/08/2021
Finger Lakes,Ontario,25582,13470,03/08/2021
Mid-Hudson,Orange,54438,28058,03/08/2021
Finger Lakes,Orleans,5635,3074,03/08/2021
Central New York,Oswego,23759,13277,03/08/2021
Mohawk Valley,Otsego,13092,7016,03/08/2021
Mid-Hudson,Putnam,20384,9918,03/08/2021
New York City,Queens,385982,176519,03/08/2021
Capital Region,Rensselaer,33696,18297,03/08/2021
New York City,Richmond,93272,49810,03/08/2021
Mid-Hudson,Rockland,61252,33881,03/08/2021
Capital Region,Saratoga,55922,28006,03/08/2021
Capital Region,Schenectady,35494,16805,03/08/2021
Mohawk Valley,Schoharie,4747,2421,03/08/2021
Southern Tier,Schuyler,3793,1882,03/08/2021
Finger Lakes,Seneca,6561,3242,03/08/2021
North Country,St. Lawrence,29596,18360,03/08/2021
Southern Tier,Steuben,13477,7121,03/08/2021
Long Island,Suffolk,272049,144082,03/08/2021
Mid-Hudson,Sullivan,10963,5853,03/08/2021
Southern Tier,Tioga,7728,3898,03/08/2021
Southern Tier,Tompkins,23271,10634,03/08/2021
Mid-Hudson,Ulster,38393,15931,03/08/2021
Capital Region,Warren,17052,8223,03/08/2021
Capital Region,Washington,11583,5182,03/08/2021
Finger Lakes,Wayne,16697,8544,03/08/2021
Mid-Hudson,Westchester,208032,112079,03/08/2021
Finger Lakes,Wyoming,6310,3637,03/08/2021
Finger Lakes,Yates,5560,2606,03/08/2021
Capital Region,Albany,72865,36966,03/09/2021
Western New York,Allegany,7267,3926,03/09/2021
New York City,Bronx,154751,85849,03/09/2021
Southern Tier,Broome,45298,25864,03/09/2021
Western New York,Cattaraugus,13100,7098,03/09/2021
Central New York,Cayuga,16976,9150,03/09/2021
Western New York,Chautauqua,24989,11915,03/09/2021
Southern Tier,Chemung,13861,8378,03/09/2021
Southern Tier,Chenango,8575,4482,03/09/2021
North Country,Clinton,24637,14028,03/09/2021
Capital Region,Columbia,13333,6222,03/09/2021
Central New York,Cortland,9371,4629,03/09/2021
Southern Tier,Delaware,7380,3086,03/09/2021
Mid-Hudson,Dutchess,55007,25254,03/09/2021
Western New York,Erie,186093,107929,03/09/2021
North Country,Essex,11029,6140,03/09/2021
North Country,Franklin,13795,7668,03/09/2021
Mohawk Valley,Fulton,8876,4742,03/09/2021
Finger Lakes,Genesee,11244,6266,03/09/2021
Capital Region,Greene,8346,3936,03/09/2021
North Country,Hamilton,2055,1407,03/09/2021
Mohawk Valley,Herkimer,13429,7858,03/09/2021
North Country,Jefferson,21884,12330,03/09/2021
New York City,Kings,347565,159659,03/09/2021
North Country,Lewis,5047,3057,03/09/2021
Finger Lakes,Livingston,12048,7235,03/09/2021
Central New York,Madison,16899,8925,03/09/2021
Finger Lakes,Monroe,161017,85716,03/09/2021
Mohawk Valley,Montgomery,10356,5325,03/09/2021
Long Island,Nassau,331426,184188,03/09/2021
New York City,New York,374595,196682,03/09/2021
Western New York,Niagara,38321,22067,03/09/2021
Mohawk Valley,Oneida,55030,32175,03/09/2021
Central New York,Onondaga,119527,69725,03/09/2021
Finger Lakes,Ontario,26228,13813,03/09/2021
Mid-Hudson,Orange,55645,29348,03/09/2021
Finger Lakes,Orleans,5899,3145,03/09/2021
Central New York,Oswego,24275,13740,03/09/2021
Mohawk Valley,Otsego,13318,7293,03/09/2021
Mid-Hudson,Putnam,21501,10253,03/09/2021
New York City,Queens,396595,179860,03/09/2021
Capital Region,Rensselaer,34630,18551,03/09/2021
New York City,Richmond,94835,51093,03/09/2021
Mid-Hudson,Rockland,63007,34704,03/09/2021
Capital Region,Saratoga,57700,28609,03/09/2021
Capital Region,Schenectady,37046,17157,03/09/2021
Mohawk Valley,Schoharie,5059,2481,03/09/2021
Southern Tier,Schuyler,3889,1911,03/09/2021
Finger Lakes,Seneca,6650,3342,03/09/2021
North Country,St. Lawrence,30111,18927,03/09/2021
Southern Tier,Steuben,14439,7377,03/09/2021
Long Island,Suffolk,279357,148776,03/09/2021
Mid-Hudson,Sullivan,11293,5940,03/09/2021
Southern Tier,Tioga,7850,4007,03/09/2021
Southern Tier,Tompkins,23724,11047,03/09/2021
Mid-Hudson,Ulster,39132,16327,03/09/2021
Capital Region,Warren,17509,8452,03/09/2021
Capital Region,Washington,11897,5290,03/09/2021
Finger Lakes,Wayne,17756,8781,03/09/2021
Mid-Hudson,Westchester,215416,115669,03/09/2021
Finger Lakes,Wyoming,6892,3733,03/09/2021
Finger Lakes,Yates,5648,2661,03/09/2021
Capital Region,Albany,75217,38240,03/10/2021
Western New York,Allegany,7326,4070,03/10/2021
New York City,Bronx,159970,88293,03/10/2021
Southern Tier,Broome,46176,26545,03/10/2021
Western New York,Cattaraugus,13537,7424,03/10/2021
Central New York,Cayuga,17297,9412,03/10/2021
Western New York,Chautauqua,25437,12349,03/10/2021
Southern Tier,Chemung,14383,8862,03/10/2021
Southern Tier,Chenango,9130,4695,03/10/2021
North Country,Clinton,25055,14286,03/10/2021
Capital Region,Columbia,13552,6336,03/10/2021
Central New York,Cortland,9599,5177,03/10/2021
Southern Tier,Delaware,7508,3188,03/10/2021
Mid-Hudson,Dutchess,56843,26592,03/10/2021
Western New York,Erie,191371,110114,03/10/2021
North Country,Essex,11304,6326,03/10/2021
North Country,Franklin,14021,7902,03/10/2021
Mohawk Valley,Fulton,9205,4870,03/10/2021
Finger Lakes,Genesee,11474,6359,03/10/2021
Capital Region,Greene,8523,4037,03/10/2021
North Country,Hamilton,2104,1430,03/10/2021
Mohawk Valley,Herkimer,13672,8193,03/10/2021
North Country,Jefferson,23087,12553,03/10/2021
New York City,Kings,358806,163137,03/10/2021
North Country,Lewis,5125,3127,03/10/2021
Finger Lakes,Livingston,12308,7472,03/10/2021
Central New York,Madison,17365,9435,03/10/2021
Finger Lakes,Monroe,167314,87357,03/10/2021
Mohawk Valley,Montgomery,10555,5529,03/10/2021
Long Island,Nassau,338725,188940,03/10/2021
New York City,New York,384601,201954,03/10/2021
Western New York,Niagara,39710,22796,03/10/2021
Mohawk Valley,Oneida,56151,33318,03/10/2021
Central New York,Onondaga,122866,71924,03/10/2021
Finger Lakes,Ontario,27159,14082,03/10/2021
Mid-Hudson,Orange,57547,30451,03/10/2021
Finger Lakes,Orleans,6045,3177,03/10/2021
Central New York,Oswego,24734,14133,03/10/2021
Mohawk Valley,Otsego,13638,7431,03/10/2021
Mid-Hudson,Putnam,22016,10651,03/10/2021
New York City,Queens,408194,183711,03/10/2021
Capital Region,Rensselaer,35477,18904,03/10/2021
New York City,Richmond,96669,51714,03/10/2021
Mid-Hudson,Rockland,65437,36112,03/10/2021
Capital Region,Saratoga,59151,29527,03/10/2021
Capital Region,Schenectady,38015,17583,03/10/2021
Mohawk Valley,Schoharie,5231,2559,03/10/2021
Southern Tier,Schuyler,4092,1981,03/10/2021
Finger Lakes,Seneca,6743,3418,03/10/2021
North Country,St. Lawrence,30699,19304,03/10/2021
Southern Tier,Steuben,15030,8038,03/10/2021
Long Island,Suffolk,287728,153414,03/10/2021
Mid-Hudson,Sullivan,11641,6300,03/10/2021
Southern Tier,Tioga,7961,4119,03/10/2021
Southern Tier,Tompkins,24201,11470,03/10/2021
Mid-Hudson,Ulster,40311,16914,03/10/2021
Capital Region,Warren,18026,8891,03/10/2021
Capital Region,Washington,12216,5510,03/10/2021
Finger Lakes,Wayne,18793,8944,03/10/2021
Mid-Hudson,Westchester,221731,119316,03/10/2021
Finger Lakes,Wyoming,7185,3901,03/10/2021
Finger Lakes,Yates,5786,2765,03/10/2021
Capital Region,Albany,77505,39815,03/11/2021
Western New York,Allegany,7524,4213,03/11/2021
New York City,Bronx,166337,90969,03/11/2021
Southern Tier,Broome,46887,27726,03/11/2021
Western New York,Cattaraugus,13922,7884,03/11/2021
Central New York,Cayuga,17590,9771,03/11/2021
Western New York,Chautauqua,26073,13240,03/11/2021
Southern Tier,Chemung,14940,8958,03/11/2021
Southern Tier,Chenango,9244,4850,03/11/2021
North Country,Clinton,26183,14700,03/11/2021
Capital Region,Columbia,13986,6565,03/11/2021
Central New York,Cortland,9882,5239,03/11/2021
Southern Tier,Delaware,7762,3252,03/11/2021
Mid-Hudson,Dutchess,59460,27513,03/11/2021
Western New York,Erie,197946,111880,03/11/2021
North Country,Essex,11748,6452,03/11/2021
North Country,Franklin,14482,8186,03/11/2021
Mohawk Valley,Fulton,9634,5025,03/11/2021
Finger Lakes,Genesee,11652,6467,03/11/2021
Capital Region,Greene,8678,4229,03/11/2021
North Country,Hamilton,2159,1469,03/11/2021
Mohawk Valley,Herkimer,13967,8427,03/11/2021
North Country,Jefferson,23791,13039,03/11/2021
New York City,Kings,371754,168163,03/11/2021
North Country,Lewis,5246,3147,03/11/2021
Finger Lakes,Livingston,12716,7709,03/11/2021
Central New York,Madison,17841,9694,03/11/2021
Finger Lakes,Monroe,171839,89634,03/11/2021
Mohawk Valley,Montgomery,10986,5667,03/11/2021
Long Island,Nassau,346524,193775,03/11/2021
New York City,New York,395033,207172,03/11/2021
Western New York,Niagara,41750,23321,03/11/2021
Mohawk Valley,Oneida,57222,34288,03/11/2021
Central New York,Onondaga,125987,73741,03/11/2021
Finger Lakes,Ontario,28032,14885,03/11/2021
Mid-Hudson,Orange,60505,31501,03/11/2021
Finger Lakes,Orleans,6340,3298,03/11/2021
Central New York,Oswego,25280,14592,03/11/2021
Mohawk Valley,Otsego,13914,7595,03/11/2021
Mid-Hudson,Putnam,22792,11097,03/11/2021
New York City,Queens,422084,189332,03/11/2021
Capital Region,Rensselaer,36413,19336,03/11/2021
New York City,Richmond,99196,53071,03/11/2021
Mid-Hudson,Rockland,67230,37367,03/11/2021
Capital Region,Saratoga,60563,30687,03/11/2021
Capital Region,Schenectady,38723,18119,03/11/2021
Mohawk Valley,Schoharie,5339,2653,03/11/2021
Southern Tier,Schuyler,4136,2043,03/11/2021
Finger Lakes,Seneca,6862,3460,03/11/2021
North Country,St. Lawrence,31271,19564,03/11/2021
Southern Tier,Steuben,15265,8181,03/11/2021
Long Island,Suffolk,296393,158495,03/11/2021
Mid-Hudson,Sullivan,12491,6806,03/11/2021
Southern Tier,Tioga,8132,4264,03/11/2021
Southern Tier,Tompkins,25638,11598,03/11/2021
Mid-Hudson,Ulster,41292,17541,03/11/2021
Capital Region,Warren,18500,9194,03/11/2021
Capital Region,Washington,12497,5675,03/11/2021
Finger Lakes,Wayne,19631,9655,03/11/2021
Mid-Hudson,Westchester,227418,122782,03/11/2021
Finger Lakes,Wyoming,7318,3990,03/11/2021
Finger Lakes,Yates,5970,3059,03/11/2021
Capital Region,Albany,79801,41096,03/12/2021
Western New York,Allegany,7810,4427,03/12/2021
New York City,Bronx,173662,93741,03/12/2021
Southern Tier,Broome,47467,28546,03/12/2021
Western New York,Cattaraugus,14249,8024,03/12/2021
Central New York,Cayuga,18362,9944,03/12/2021
Western New York,Chautauqua,27022,13655,03/12/2021
Southern Tier,Chemung,15637,9536,03/12/2021
Southern Tier,Chenango,9418,5155,03/12/2021
North Country,Clinton,26542,15229,03/12/2021
Capital Region,Columbia,14532,6937,03/12/2021
Central New York,Cortland,10019,5316,03/12/2021
Southern Tier,Delaware,7870,3470,03/12/2021
Mid-Hudson,Dutchess,61401,28158,03/12/2021
Western New York,Erie,204735,114142,03/12/2021
North Country,Essex,12215,6637,03/12/2021
North Country,Franklin,14752,8461,03/12/2021
Mohawk Valley,Fulton,9811,5175,03/12/2021
Finger Lakes,Genesee,12201,6694,03/12/2021
Capital Region,Greene,9056,4346,03/12/2021
North Country,Hamilton,2212,1529,03/12/2021
Mohawk Valley,Herkimer,14296,8598,03/12/2021
North Country,Jefferson,25336,13215,03/12/2021
New York City,Kings,387431,173726,03/12/2021
North Country,Lewis,5740,3247,03/12/2021
Finger Lakes,Livingston,13299,7877,03/12/2021
Central New York,Madison,18623,9944,03/12/2021
Finger Lakes,Monroe,177509,92372,03/12/2021
Mohawk Valley,Montgomery,11158,5812,03/12/2021
Long Island,Nassau,355147,199130,03/12/2021
New York City,New York,407964,212276,03/12/2021
Western New York,Niagara,42561,23623,03/12/2021
Mohawk Valley,Oneida,58000,35381,03/12/2021
Central New York,Onondaga,128748,75400,03/12/2021
Finger Lakes,Ontario,28764,15388,03/12/2021
Mid-Hudson,Orange,62109,32012,03/12/2021
Finger Lakes,Orleans,6488,3339,03/12/2021
Central New York,Oswego,25928,14825,03/12/2021
Mohawk Valley,Otsego,14097,7807,03/12/2021
Mid-Hudson,Putnam,23693,11835,03/12/2021
New York City,Queens,438737,195227,03/12/2021
Capital Region,Rensselaer,37272,20126,03/12/2021
New York City,Richmond,102481,54553,03/12/2021
Mid-Hudson,Rockland,68566,37979,03/12/2021
Capital Region,Saratoga,61893,31554,03/12/2021
Capital Region,Schenectady,40608,18666,03/12/2021
Mohawk Valley,Schoharie,5446,2780,03/12/2021
Southern Tier,Schuyler,4184,2139,03/12/2021
Finger Lakes,Seneca,7196,3597,03/12/2021
North Country,St. Lawrence,31918,20054,03/12/2021
Southern Tier,Steuben,15575,8417,03/12/2021
Long Island,Suffolk,304305,163223,03/12/2021
Mid-Hudson,Sullivan,12981,7022,03/12/2021
Southern Tier,Tioga,8246,4399,03/12/2021
Southern Tier,Tompkins,26077,11777,03/12/2021
Mid-Hudson,Ulster,41762,17856,03/12/2021
Capital Region,Warren,18822,9471,03/12/2021
Capital Region,Washington,12682,5801,03/12/2021
Finger Lakes,Wayne,20338,9860,03/12/2021
Mid-Hudson,Westchester,233810,125369,03/12/2021
