,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
8263,2020.0,1.0,United States,All Sexes,Under 1 year,0.0,1778.0,41.0,0.0,8.0,49.0
8266,2020.0,1.0,United States,All Sexes,5-14 years,0.0,470.0,21.0,0.0,29.0,50.0
8267,2020.0,1.0,United States,All Sexes,15-24 years,0.0,2594.0,59.0,0.0,29.0,88.0
8269,2020.0,1.0,United States,All Sexes,25-34 years,0.0,5213.0,180.0,0.0,89.0,269.0
8271,2020.0,1.0,United States,All Sexes,35-44 years,0.0,7583.0,323.0,0.0,121.0,444.0
8273,2020.0,1.0,United States,All Sexes,45-54 years,1.0,14418.0,778.0,0.0,199.0,978.0
8275,2020.0,1.0,United States,All Sexes,55-64 years,0.0,34263.0,2084.0,0.0,410.0,2494.0
8277,2020.0,1.0,United States,All Sexes,75-84 years,0.0,63998.0,4786.0,0.0,384.0,5170.0
8278,2020.0,1.0,United States,All Sexes,85 years and over,1.0,81441.0,5940.0,0.0,431.0,6372.0
8314,2020.0,2.0,United States,All Sexes,Under 1 year,0.0,1669.0,30.0,0.0,9.0,39.0
8317,2020.0,2.0,United States,All Sexes,5-14 years,0.0,460.0,21.0,0.0,31.0,52.0
8318,2020.0,2.0,United States,All Sexes,15-24 years,0.0,2402.0,52.0,0.0,23.0,75.0
8320,2020.0,2.0,United States,All Sexes,25-34 years,0.0,5032.0,141.0,0.0,76.0,217.0
8322,2020.0,2.0,United States,All Sexes,35-44 years,2.0,6926.0,268.0,1.0,95.0,364.0
8324,2020.0,2.0,United States,All Sexes,45-54 years,2.0,13378.0,670.0,2.0,219.0,889.0
8326,2020.0,2.0,United States,All Sexes,55-64 years,4.0,31963.0,1936.0,3.0,436.0,2373.0
8328,2020.0,2.0,United States,All Sexes,75-84 years,3.0,59604.0,4229.0,2.0,506.0,4736.0
8329,2020.0,2.0,United States,All Sexes,85 years and over,3.0,74883.0,5174.0,0.0,459.0,5636.0
8365,2020.0,3.0,United States,All Sexes,Under 1 year,3.0,1648.0,28.0,2.0,3.0,32.0
8368,2020.0,3.0,United States,All Sexes,5-14 years,2.0,434.0,17.0,0.0,12.0,31.0
8369,2020.0,3.0,United States,All Sexes,15-24 years,13.0,2644.0,64.0,5.0,20.0,91.0
8371,2020.0,3.0,United States,All Sexes,25-34 years,100.0,5531.0,216.0,45.0,40.0,311.0
8373,2020.0,3.0,United States,All Sexes,35-44 years,235.0,8029.0,422.0,86.0,87.0,650.0
8375,2020.0,3.0,United States,All Sexes,45-54 years,521.0,14663.0,1003.0,221.0,195.0,1482.0
8377,2020.0,3.0,United States,All Sexes,55-64 years,1037.0,35134.0,2854.0,455.0,435.0,3839.0
8379,2020.0,3.0,United States,All Sexes,75-84 years,1865.0,66134.0,6146.0,926.0,559.0,7623.0
8380,2020.0,3.0,United States,All Sexes,85 years and over,1696.0,81863.0,7012.0,843.0,535.0,8389.0
8416,2020.0,4.0,United States,All Sexes,Under 1 year,4.0,1569.0,19.0,0.0,0.0,23.0
8419,2020.0,4.0,United States,All Sexes,5-14 years,5.0,415.0,15.0,0.0,1.0,21.0
8420,2020.0,4.0,United States,All Sexes,15-24 years,83.0,2823.0,75.0,23.0,5.0,137.0
8422,2020.0,4.0,United States,All Sexes,25-34 years,431.0,6135.0,336.0,184.0,18.0,588.0
8424,2020.0,4.0,United States,All Sexes,35-44 years,1110.0,9034.0,794.0,459.0,37.0,1460.0
8426,2020.0,4.0,United States,All Sexes,45-54 years,3180.0,17370.0,2123.0,1351.0,115.0,3981.0
8428,2020.0,4.0,United States,All Sexes,55-64 years,7935.0,40744.0,5831.0,3543.0,250.0,10294.0
8430,2020.0,4.0,United States,All Sexes,75-84 years,17640.0,79041.0,12838.0,7899.0,278.0,22687.0
8431,2020.0,4.0,United States,All Sexes,85 years and over,21081.0,101473.0,14359.0,8678.0,248.0,26856.0
8467,2020.0,5.0,United States,All Sexes,Under 1 year,3.0,1684.0,14.0,0.0,1.0,18.0
8470,2020.0,5.0,United States,All Sexes,5-14 years,8.0,458.0,16.0,3.0,2.0,23.0
8471,2020.0,5.0,United States,All Sexes,15-24 years,50.0,3079.0,57.0,17.0,1.0,91.0
8473,2020.0,5.0,United States,All Sexes,25-34 years,239.0,6593.0,230.0,99.0,2.0,372.0
8475,2020.0,5.0,United States,All Sexes,35-44 years,615.0,9266.0,532.0,252.0,4.0,899.0
8477,2020.0,5.0,United States,All Sexes,45-54 years,1707.0,16524.0,1382.0,777.0,11.0,2321.0
8479,2020.0,5.0,United States,All Sexes,55-64 years,4363.0,36724.0,3696.0,2044.0,17.0,6030.0
8481,2020.0,5.0,United States,All Sexes,75-84 years,9767.0,66468.0,7682.0,4200.0,28.0,13271.0
8482,2020.0,5.0,United States,All Sexes,85 years and over,13685.0,84539.0,8864.0,4867.0,28.0,17706.0
8518,2020.0,6.0,United States,All Sexes,Under 1 year,6.0,1656.0,12.0,0.0,0.0,18.0
8521,2020.0,6.0,United States,All Sexes,5-14 years,2.0,525.0,12.0,1.0,0.0,13.0
8522,2020.0,6.0,United States,All Sexes,15-24 years,47.0,3249.0,61.0,16.0,0.0,92.0
8524,2020.0,6.0,United States,All Sexes,25-34 years,184.0,6581.0,207.0,79.0,1.0,313.0
8526,2020.0,6.0,United States,All Sexes,35-44 years,432.0,8620.0,423.0,183.0,0.0,672.0
8528,2020.0,6.0,United States,All Sexes,45-54 years,1138.0,15692.0,1117.0,524.0,3.0,1734.0
8530,2020.0,6.0,United States,All Sexes,55-64 years,2376.0,33811.0,2634.0,1148.0,7.0,3867.0
8532,2020.0,6.0,United States,All Sexes,75-84 years,4474.0,58722.0,5200.0,1998.0,9.0,7684.0
8533,2020.0,6.0,United States,All Sexes,85 years and over,5479.0,71492.0,5228.0,1906.0,7.0,8807.0
8569,2020.0,7.0,United States,All Sexes,Under 1 year,6.0,1642.0,10.0,1.0,0.0,15.0
8572,2020.0,7.0,United States,All Sexes,5-14 years,14.0,540.0,16.0,3.0,0.0,27.0
8573,2020.0,7.0,United States,All Sexes,15-24 years,99.0,3504.0,67.0,35.0,0.0,131.0
8575,2020.0,7.0,United States,All Sexes,25-34 years,350.0,6914.0,312.0,152.0,2.0,511.0
8577,2020.0,7.0,United States,All Sexes,35-44 years,898.0,9920.0,665.0,425.0,2.0,1140.0
8579,2020.0,7.0,United States,All Sexes,45-54 years,1986.0,17195.0,1595.0,983.0,4.0,2602.0
8581,2020.0,7.0,United States,All Sexes,55-64 years,4471.0,38252.0,3880.0,2246.0,8.0,6111.0
8583,2020.0,7.0,United States,All Sexes,75-84 years,8025.0,66015.0,7287.0,3968.0,15.0,11354.0
8584,2020.0,7.0,United States,All Sexes,85 years and over,8100.0,78296.0,6885.0,3450.0,7.0,11538.0
8620,2020.0,8.0,United States,All Sexes,Under 1 year,3.0,1611.0,15.0,2.0,0.0,16.0
8623,2020.0,8.0,United States,All Sexes,5-14 years,6.0,461.0,13.0,0.0,0.0,19.0
8624,2020.0,8.0,United States,All Sexes,15-24 years,70.0,3391.0,67.0,31.0,1.0,107.0
8626,2020.0,8.0,United States,All Sexes,25-34 years,227.0,6746.0,229.0,112.0,0.0,344.0
8628,2020.0,8.0,United States,All Sexes,35-44 years,642.0,9433.0,575.0,303.0,2.0,915.0
8630,2020.0,8.0,United States,All Sexes,45-54 years,1715.0,16670.0,1504.0,909.0,2.0,2311.0
8632,2020.0,8.0,United States,All Sexes,55-64 years,4107.0,37344.0,3981.0,2294.0,3.0,5796.0
8634,2020.0,8.0,United States,All Sexes,75-84 years,8041.0,66636.0,7451.0,4156.0,14.0,11345.0
8635,2020.0,8.0,United States,All Sexes,85 years and over,8042.0,78529.0,6889.0,3462.0,9.0,11472.0
8671,2020.0,9.0,United States,All Sexes,Under 1 year,5.0,1571.0,17.0,2.0,0.0,20.0
8674,2020.0,9.0,United States,All Sexes,5-14 years,3.0,459.0,4.0,0.0,0.0,7.0
8675,2020.0,9.0,United States,All Sexes,15-24 years,38.0,3137.0,58.0,12.0,1.0,85.0
8677,2020.0,9.0,United States,All Sexes,25-34 years,152.0,6091.0,172.0,71.0,0.0,253.0
8679,2020.0,9.0,United States,All Sexes,35-44 years,364.0,8508.0,399.0,170.0,1.0,594.0
8681,2020.0,9.0,United States,All Sexes,45-54 years,975.0,15086.0,1072.0,504.0,4.0,1546.0
8683,2020.0,9.0,United States,All Sexes,55-64 years,2452.0,34131.0,2894.0,1342.0,6.0,4010.0
8685,2020.0,9.0,United States,All Sexes,75-84 years,5230.0,61510.0,5833.0,2612.0,4.0,8454.0
8686,2020.0,9.0,United States,All Sexes,85 years and over,5468.0,74465.0,5703.0,2283.0,6.0,8893.0
8722,2020.0,10.0,United States,All Sexes,Under 1 year,4.0,1543.0,17.0,0.0,0.0,21.0
8725,2020.0,10.0,United States,All Sexes,5-14 years,6.0,484.0,10.0,1.0,0.0,15.0
8726,2020.0,10.0,United States,All Sexes,15-24 years,33.0,3044.0,61.0,8.0,0.0,86.0
8728,2020.0,10.0,United States,All Sexes,25-34 years,143.0,6127.0,163.0,48.0,2.0,259.0
8730,2020.0,10.0,United States,All Sexes,35-44 years,387.0,8629.0,421.0,186.0,1.0,623.0
8732,2020.0,10.0,United States,All Sexes,45-54 years,1018.0,15291.0,1057.0,500.0,4.0,1577.0
8734,2020.0,10.0,United States,All Sexes,55-64 years,2698.0,35475.0,3121.0,1422.0,10.0,4405.0
8736,2020.0,10.0,United States,All Sexes,75-84 years,7029.0,66082.0,6928.0,3472.0,19.0,10496.0
8737,2020.0,10.0,United States,All Sexes,85 years and over,7980.0,80338.0,6728.0,3160.0,16.0,11561.0
8773,2020.0,11.0,United States,All Sexes,Under 1 year,5.0,1498.0,13.0,0.0,0.0,18.0
8776,2020.0,11.0,United States,All Sexes,5-14 years,11.0,476.0,10.0,1.0,0.0,20.0
8777,2020.0,11.0,United States,All Sexes,15-24 years,56.0,2966.0,57.0,21.0,0.0,92.0
8779,2020.0,11.0,United States,All Sexes,25-34 years,270.0,6091.0,258.0,122.0,1.0,406.0
8781,2020.0,11.0,United States,All Sexes,35-44 years,698.0,8815.0,571.0,319.0,2.0,951.0
8783,2020.0,11.0,United States,All Sexes,45-54 years,1929.0,15837.0,1606.0,996.0,4.0,2541.0
8785,2020.0,11.0,United States,All Sexes,55-64 years,5352.0,37262.0,4386.0,2797.0,16.0,6953.0
8787,2020.0,11.0,United States,All Sexes,75-84 years,15478.0,74424.0,11248.0,7762.0,25.0,18979.0
8788,2020.0,11.0,United States,All Sexes,85 years and over,17802.0,91310.0,10915.0,7089.0,21.0,21641.0
8824,2020.0,12.0,United States,All Sexes,Under 1 year,8.0,1432.0,7.0,1.0,0.0,14.0
8827,2020.0,12.0,United States,All Sexes,5-14 years,10.0,414.0,10.0,3.0,0.0,17.0
8828,2020.0,12.0,United States,All Sexes,15-24 years,106.0,2918.0,90.0,53.0,1.0,143.0
8830,2020.0,12.0,United States,All Sexes,25-34 years,456.0,6212.0,325.0,201.0,2.0,581.0
8832,2020.0,12.0,United States,All Sexes,35-44 years,1285.0,9364.0,886.0,619.0,4.0,1552.0
8834,2020.0,12.0,United States,All Sexes,45-54 years,3865.0,18492.0,2725.0,2072.0,4.0,4519.0
8836,2020.0,12.0,United States,All Sexes,55-64 years,10139.0,44010.0,7267.0,5517.0,20.0,11898.0
8838,2020.0,12.0,United States,All Sexes,75-84 years,27131.0,89814.0,17977.0,14173.0,51.0,30961.0
8839,2020.0,12.0,United States,All Sexes,85 years and over,31692.0,110149.0,17316.0,13027.0,31.0,35996.0
8875,2021.0,1.0,United States,All Sexes,Under 1 year,6.0,1390.0,9.0,0.0,0.0,15.0
8878,2021.0,1.0,United States,All Sexes,5-14 years,12.0,390.0,12.0,3.0,1.0,22.0
8879,2021.0,1.0,United States,All Sexes,15-24 years,116.0,2814.0,81.0,50.0,0.0,147.0
8881,2021.0,1.0,United States,All Sexes,25-34 years,586.0,6249.0,397.0,296.0,3.0,689.0
8883,2021.0,1.0,United States,All Sexes,35-44 years,1534.0,9720.0,1093.0,815.0,1.0,1813.0
8885,2021.0,1.0,United States,All Sexes,45-54 years,4439.0,18645.0,3077.0,2484.0,6.0,5036.0
8887,2021.0,1.0,United States,All Sexes,55-64 years,11947.0,44705.0,8627.0,6963.0,23.0,13626.0
8889,2021.0,1.0,United States,All Sexes,75-84 years,28149.0,88911.0,19208.0,15457.0,39.0,31928.0
8890,2021.0,1.0,United States,All Sexes,85 years and over,29198.0,105182.0,17215.0,13104.0,29.0,33319.0
8926,2021.0,2.0,United States,All Sexes,Under 1 year,4.0,1088.0,6.0,0.0,0.0,10.0
8929,2021.0,2.0,United States,All Sexes,5-14 years,7.0,344.0,12.0,3.0,0.0,16.0
8930,2021.0,2.0,United States,All Sexes,15-24 years,62.0,2201.0,55.0,32.0,0.0,85.0
8932,2021.0,2.0,United States,All Sexes,25-34 years,252.0,4777.0,192.0,127.0,1.0,318.0
8934,2021.0,2.0,United States,All Sexes,35-44 years,673.0,7264.0,527.0,364.0,1.0,837.0
8936,2021.0,2.0,United States,All Sexes,45-54 years,2187.0,13864.0,1726.0,1262.0,4.0,2654.0
8938,2021.0,2.0,United States,All Sexes,55-64 years,6033.0,33183.0,4877.0,3624.0,14.0,7293.0
8940,2021.0,2.0,United States,All Sexes,75-84 years,12160.0,62969.0,9723.0,6761.0,21.0,15138.0
8941,2021.0,2.0,United States,All Sexes,85 years and over,11187.0,73424.0,8368.0,5136.0,14.0,14429.0
8977,2021.0,3.0,United States,All Sexes,Under 1 year,0.0,470.0,3.0,0.0,0.0,3.0
8980,2021.0,3.0,United States,All Sexes,5-14 years,1.0,149.0,3.0,1.0,0.0,3.0
8981,2021.0,3.0,United States,All Sexes,15-24 years,19.0,1174.0,15.0,9.0,0.0,25.0
8983,2021.0,3.0,United States,All Sexes,25-34 years,80.0,2567.0,75.0,46.0,0.0,109.0
8985,2021.0,3.0,United States,All Sexes,35-44 years,229.0,3750.0,175.0,113.0,0.0,291.0
8987,2021.0,3.0,United States,All Sexes,45-54 years,731.0,7041.0,602.0,387.0,4.0,949.0
8989,2021.0,3.0,United States,All Sexes,55-64 years,1842.0,16463.0,1670.0,1037.0,5.0,2477.0
8991,2021.0,3.0,United States,All Sexes,75-84 years,3174.0,32517.0,3260.0,1718.0,9.0,4724.0
8992,2021.0,3.0,United States,All Sexes,85 years and over,2768.0,39436.0,3003.0,1285.0,2.0,4487.0
9028,2020.0,1.0,Alabama,All Sexes,Under 1 year,0.0,31.0,0.0,0.0,0.0,0.0
9031,2020.0,1.0,Alabama,All Sexes,5-14 years,0.0,16.0,6.0,0.0,0.0,6.0
9032,2020.0,1.0,Alabama,All Sexes,15-24 years,0.0,56.0,0.0,0.0,3.0,7.0
9034,2020.0,1.0,Alabama,All Sexes,25-34 years,0.0,77.0,2.0,0.0,0.0,5.0
9036,2020.0,1.0,Alabama,All Sexes,35-44 years,0.0,131.0,1.0,0.0,1.0,2.0
9038,2020.0,1.0,Alabama,All Sexes,45-54 years,0.0,297.0,18.0,0.0,8.0,21.0
9040,2020.0,1.0,Alabama,All Sexes,55-64 years,0.0,719.0,41.0,0.0,11.0,52.0
9042,2020.0,1.0,Alabama,All Sexes,75-84 years,0.0,1178.0,86.0,0.0,2.0,91.0
9043,2020.0,1.0,Alabama,All Sexes,85 years and over,0.0,1177.0,64.0,0.0,3.0,65.0
9079,2020.0,2.0,Alabama,All Sexes,Under 1 year,0.0,40.0,0.0,0.0,5.0,6.0
9082,2020.0,2.0,Alabama,All Sexes,5-14 years,0.0,5.0,0.0,0.0,0.0,0.0
9083,2020.0,2.0,Alabama,All Sexes,15-24 years,0.0,49.0,6.0,0.0,0.0,7.0
9085,2020.0,2.0,Alabama,All Sexes,25-34 years,0.0,93.0,1.0,0.0,2.0,4.0
9087,2020.0,2.0,Alabama,All Sexes,35-44 years,0.0,153.0,2.0,0.0,2.0,8.0
9089,2020.0,2.0,Alabama,All Sexes,45-54 years,0.0,295.0,12.0,0.0,1.0,16.0
9091,2020.0,2.0,Alabama,All Sexes,55-64 years,0.0,743.0,59.0,0.0,12.0,71.0
9093,2020.0,2.0,Alabama,All Sexes,75-84 years,0.0,1159.0,76.0,0.0,4.0,79.0
9094,2020.0,2.0,Alabama,All Sexes,85 years and over,1.0,1114.0,61.0,0.0,3.0,63.0
9130,2020.0,3.0,Alabama,All Sexes,Under 1 year,0.0,24.0,1.0,0.0,0.0,5.0
9133,2020.0,3.0,Alabama,All Sexes,5-14 years,0.0,5.0,0.0,0.0,0.0,0.0
9134,2020.0,3.0,Alabama,All Sexes,15-24 years,0.0,51.0,8.0,0.0,6.0,5.0
9136,2020.0,3.0,Alabama,All Sexes,25-34 years,2.0,113.0,2.0,0.0,5.0,7.0
9138,2020.0,3.0,Alabama,All Sexes,35-44 years,3.0,164.0,3.0,7.0,5.0,2.0
9140,2020.0,3.0,Alabama,All Sexes,45-54 years,2.0,314.0,20.0,8.0,5.0,32.0
9142,2020.0,3.0,Alabama,All Sexes,55-64 years,4.0,705.0,49.0,2.0,7.0,61.0
9144,2020.0,3.0,Alabama,All Sexes,75-84 years,3.0,1165.0,87.0,6.0,2.0,98.0
9145,2020.0,3.0,Alabama,All Sexes,85 years and over,10.0,1151.0,58.0,2.0,6.0,70.0
9181,2020.0,4.0,Alabama,All Sexes,Under 1 year,0.0,31.0,0.0,0.0,0.0,0.0
9184,2020.0,4.0,Alabama,All Sexes,5-14 years,0.0,14.0,8.0,0.0,0.0,7.0
9185,2020.0,4.0,Alabama,All Sexes,15-24 years,0.0,60.0,0.0,0.0,0.0,0.0
9187,2020.0,4.0,Alabama,All Sexes,25-34 years,8.0,101.0,4.0,3.0,0.0,2.0
9189,2020.0,4.0,Alabama,All Sexes,35-44 years,2.0,173.0,10.0,3.0,0.0,14.0
9191,2020.0,4.0,Alabama,All Sexes,45-54 years,20.0,321.0,13.0,2.0,3.0,29.0
9193,2020.0,4.0,Alabama,All Sexes,55-64 years,53.0,715.0,49.0,4.0,2.0,95.0
9195,2020.0,4.0,Alabama,All Sexes,75-84 years,92.0,1224.0,113.0,31.0,1.0,175.0
9196,2020.0,4.0,Alabama,All Sexes,85 years and over,79.0,1171.0,83.0,20.0,0.0,142.0
9232,2020.0,5.0,Alabama,All Sexes,Under 1 year,0.0,43.0,0.0,0.0,0.0,0.0
9235,2020.0,5.0,Alabama,All Sexes,5-14 years,0.0,3.0,6.0,0.0,0.0,6.0
9236,2020.0,5.0,Alabama,All Sexes,15-24 years,0.0,65.0,7.0,0.0,0.0,2.0
9238,2020.0,5.0,Alabama,All Sexes,25-34 years,1.0,142.0,8.0,2.0,0.0,5.0
9240,2020.0,5.0,Alabama,All Sexes,35-44 years,1.0,193.0,10.0,8.0,0.0,16.0
9242,2020.0,5.0,Alabama,All Sexes,45-54 years,27.0,335.0,19.0,3.0,0.0,42.0
9244,2020.0,5.0,Alabama,All Sexes,55-64 years,50.0,776.0,67.0,14.0,0.0,103.0
9246,2020.0,5.0,Alabama,All Sexes,75-84 years,107.0,1243.0,101.0,38.0,8.0,171.0
9247,2020.0,5.0,Alabama,All Sexes,85 years and over,129.0,1209.0,98.0,41.0,3.0,187.0
9283,2020.0,6.0,Alabama,All Sexes,Under 1 year,7.0,35.0,0.0,0.0,0.0,6.0
9286,2020.0,6.0,Alabama,All Sexes,5-14 years,0.0,12.0,0.0,0.0,0.0,0.0
9287,2020.0,6.0,Alabama,All Sexes,15-24 years,0.0,62.0,3.0,0.0,0.0,5.0
9289,2020.0,6.0,Alabama,All Sexes,25-34 years,7.0,119.0,7.0,5.0,0.0,8.0
9291,2020.0,6.0,Alabama,All Sexes,35-44 years,13.0,197.0,12.0,1.0,0.0,21.0
9293,2020.0,6.0,Alabama,All Sexes,45-54 years,29.0,356.0,18.0,11.0,0.0,36.0
9295,2020.0,6.0,Alabama,All Sexes,55-64 years,61.0,724.0,53.0,18.0,0.0,96.0
9297,2020.0,6.0,Alabama,All Sexes,75-84 years,104.0,1218.0,101.0,33.0,0.0,172.0
9298,2020.0,6.0,Alabama,All Sexes,85 years and over,77.0,1132.0,72.0,24.0,0.0,125.0
9334,2020.0,7.0,Alabama,All Sexes,Under 1 year,0.0,32.0,0.0,0.0,0.0,0.0
9337,2020.0,7.0,Alabama,All Sexes,5-14 years,0.0,2.0,0.0,0.0,0.0,0.0
9338,2020.0,7.0,Alabama,All Sexes,15-24 years,8.0,63.0,3.0,0.0,0.0,6.0
9340,2020.0,7.0,Alabama,All Sexes,25-34 years,7.0,121.0,3.0,7.0,0.0,10.0
9342,2020.0,7.0,Alabama,All Sexes,35-44 years,22.0,191.0,11.0,7.0,0.0,25.0
9344,2020.0,7.0,Alabama,All Sexes,45-54 years,45.0,387.0,23.0,10.0,2.0,59.0
9346,2020.0,7.0,Alabama,All Sexes,55-64 years,126.0,872.0,87.0,44.0,0.0,169.0
9348,2020.0,7.0,Alabama,All Sexes,75-84 years,225.0,1438.0,127.0,68.0,7.0,285.0
9349,2020.0,7.0,Alabama,All Sexes,85 years and over,236.0,1334.0,125.0,72.0,2.0,289.0
9385,2020.0,8.0,Alabama,All Sexes,Under 1 year,0.0,36.0,0.0,0.0,0.0,0.0
9388,2020.0,8.0,Alabama,All Sexes,5-14 years,0.0,7.0,0.0,0.0,0.0,0.0
9389,2020.0,8.0,Alabama,All Sexes,15-24 years,2.0,74.0,0.0,0.0,0.0,2.0
9391,2020.0,8.0,Alabama,All Sexes,25-34 years,2.0,131.0,11.0,4.0,0.0,14.0
9393,2020.0,8.0,Alabama,All Sexes,35-44 years,18.0,215.0,18.0,6.0,0.0,29.0
9395,2020.0,8.0,Alabama,All Sexes,45-54 years,63.0,367.0,30.0,18.0,0.0,75.0
9397,2020.0,8.0,Alabama,All Sexes,55-64 years,139.0,855.0,78.0,47.0,0.0,170.0
9399,2020.0,8.0,Alabama,All Sexes,75-84 years,255.0,1484.0,155.0,101.0,0.0,309.0
9400,2020.0,8.0,Alabama,All Sexes,85 years and over,244.0,1356.0,136.0,78.0,0.0,302.0
9436,2020.0,9.0,Alabama,All Sexes,Under 1 year,4.0,32.0,8.0,8.0,0.0,2.0
9439,2020.0,9.0,Alabama,All Sexes,5-14 years,0.0,5.0,0.0,0.0,0.0,0.0
9440,2020.0,9.0,Alabama,All Sexes,15-24 years,7.0,55.0,1.0,0.0,0.0,7.0
9442,2020.0,9.0,Alabama,All Sexes,25-34 years,8.0,96.0,6.0,5.0,0.0,8.0
9444,2020.0,9.0,Alabama,All Sexes,35-44 years,10.0,172.0,10.0,3.0,0.0,17.0
9446,2020.0,9.0,Alabama,All Sexes,45-54 years,29.0,328.0,22.0,5.0,0.0,42.0
9448,2020.0,9.0,Alabama,All Sexes,55-64 years,67.0,750.0,55.0,17.0,0.0,105.0
9450,2020.0,9.0,Alabama,All Sexes,75-84 years,178.0,1274.0,128.0,62.0,0.0,244.0
9451,2020.0,9.0,Alabama,All Sexes,85 years and over,135.0,1237.0,88.0,42.0,0.0,181.0
9487,2020.0,10.0,Alabama,All Sexes,Under 1 year,0.0,38.0,5.0,0.0,0.0,1.0
9490,2020.0,10.0,Alabama,All Sexes,5-14 years,0.0,4.0,7.0,0.0,0.0,8.0
9491,2020.0,10.0,Alabama,All Sexes,15-24 years,4.0,66.0,2.0,0.0,0.0,2.0
9493,2020.0,10.0,Alabama,All Sexes,25-34 years,3.0,122.0,6.0,2.0,0.0,5.0
9495,2020.0,10.0,Alabama,All Sexes,35-44 years,12.0,154.0,5.0,2.0,0.0,16.0
9497,2020.0,10.0,Alabama,All Sexes,45-54 years,24.0,322.0,21.0,4.0,0.0,37.0
9499,2020.0,10.0,Alabama,All Sexes,55-64 years,77.0,753.0,53.0,25.0,0.0,105.0
9501,2020.0,10.0,Alabama,All Sexes,75-84 years,168.0,1329.0,135.0,62.0,5.0,242.0
9502,2020.0,10.0,Alabama,All Sexes,85 years and over,117.0,1217.0,92.0,37.0,4.0,173.0
9538,2020.0,11.0,Alabama,All Sexes,Under 1 year,0.0,30.0,0.0,0.0,0.0,0.0
9541,2020.0,11.0,Alabama,All Sexes,5-14 years,0.0,7.0,0.0,0.0,0.0,0.0
9542,2020.0,11.0,Alabama,All Sexes,15-24 years,0.0,58.0,6.0,0.0,0.0,8.0
9544,2020.0,11.0,Alabama,All Sexes,25-34 years,1.0,127.0,2.0,4.0,8.0,12.0
9546,2020.0,11.0,Alabama,All Sexes,35-44 years,11.0,190.0,5.0,2.0,0.0,18.0
9548,2020.0,11.0,Alabama,All Sexes,45-54 years,35.0,326.0,29.0,16.0,0.0,48.0
9550,2020.0,11.0,Alabama,All Sexes,55-64 years,101.0,790.0,67.0,32.0,7.0,137.0
9552,2020.0,11.0,Alabama,All Sexes,75-84 years,226.0,1409.0,128.0,74.0,6.0,280.0
9553,2020.0,11.0,Alabama,All Sexes,85 years and over,182.0,1324.0,107.0,53.0,0.0,236.0
9589,2020.0,12.0,Alabama,All Sexes,Under 1 year,0.0,30.0,0.0,0.0,0.0,0.0
9592,2020.0,12.0,Alabama,All Sexes,5-14 years,0.0,5.0,0.0,0.0,0.0,0.0
9593,2020.0,12.0,Alabama,All Sexes,15-24 years,5.0,73.0,4.0,0.0,0.0,1.0
9595,2020.0,12.0,Alabama,All Sexes,25-34 years,6.0,113.0,7.0,6.0,0.0,7.0
9597,2020.0,12.0,Alabama,All Sexes,35-44 years,23.0,214.0,7.0,4.0,0.0,27.0
9599,2020.0,12.0,Alabama,All Sexes,45-54 years,94.0,400.0,37.0,29.0,0.0,102.0
9601,2020.0,12.0,Alabama,All Sexes,55-64 years,212.0,952.0,104.0,65.0,7.0,252.0
9603,2020.0,12.0,Alabama,All Sexes,75-84 years,520.0,1863.0,267.0,190.0,6.0,599.0
9604,2020.0,12.0,Alabama,All Sexes,85 years and over,438.0,1748.0,200.0,141.0,0.0,497.0
9640,2021.0,1.0,Alabama,All Sexes,Under 1 year,0.0,31.0,1.0,0.0,0.0,2.0
9643,2021.0,1.0,Alabama,All Sexes,5-14 years,0.0,3.0,0.0,0.0,0.0,0.0
9644,2021.0,1.0,Alabama,All Sexes,15-24 years,1.0,66.0,6.0,0.0,0.0,1.0
9646,2021.0,1.0,Alabama,All Sexes,25-34 years,10.0,117.0,5.0,8.0,0.0,12.0
9648,2021.0,1.0,Alabama,All Sexes,35-44 years,48.0,227.0,23.0,18.0,0.0,53.0
9650,2021.0,1.0,Alabama,All Sexes,45-54 years,108.0,452.0,60.0,43.0,0.0,125.0
9652,2021.0,1.0,Alabama,All Sexes,55-64 years,328.0,1118.0,153.0,110.0,5.0,373.0
9654,2021.0,1.0,Alabama,All Sexes,75-84 years,717.0,2009.0,359.0,284.0,4.0,792.0
9655,2021.0,1.0,Alabama,All Sexes,85 years and over,507.0,1848.0,228.0,166.0,2.0,569.0
9691,2021.0,2.0,Alabama,All Sexes,Under 1 year,0.0,14.0,0.0,0.0,0.0,0.0
9694,2021.0,2.0,Alabama,All Sexes,5-14 years,0.0,7.0,0.0,0.0,0.0,0.0
9695,2021.0,2.0,Alabama,All Sexes,15-24 years,1.0,42.0,3.0,3.0,0.0,5.0
9697,2021.0,2.0,Alabama,All Sexes,25-34 years,7.0,102.0,6.0,8.0,0.0,8.0
9699,2021.0,2.0,Alabama,All Sexes,35-44 years,17.0,147.0,10.0,2.0,0.0,21.0
9701,2021.0,2.0,Alabama,All Sexes,45-54 years,46.0,301.0,27.0,16.0,0.0,57.0
9703,2021.0,2.0,Alabama,All Sexes,55-64 years,142.0,750.0,86.0,56.0,6.0,173.0
9705,2021.0,2.0,Alabama,All Sexes,75-84 years,275.0,1399.0,153.0,99.0,4.0,331.0
