,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2587,West Virginia,Female,1,0.0,11.0,8.0,0.0,0.0,2.0
2588,West Virginia,Female,5,0.0,11.0,0.0,0.0,8.0,2.0
2589,West Virginia,Female,15,0.0,55.0,5.0,0.0,0.0,8.0
2591,West Virginia,Female,25,1.0,183.0,8.0,0.0,2.0,14.0
2593,West Virginia,Female,35,13.0,317.0,21.0,7.0,3.0,29.0
2595,West Virginia,Female,45,28.0,641.0,59.0,14.0,6.0,75.0
2597,West Virginia,Female,55,104.0,1532.0,168.0,55.0,7.0,222.0
2598,West Virginia,Female,65,242.0,2518.0,283.0,129.0,7.0,403.0
2599,West Virginia,Female,75,354.0,3361.0,364.0,171.0,4.0,552.0
2600,West Virginia,Female,85,450.0,4255.0,381.0,155.0,6.0,683.0
2619,Wisconsin,Male,0,1.0,226.0,7.0,0.0,0.0,5.0
2621,Wisconsin,Male,1,0.0,31.0,0.0,0.0,0.0,0.0
2622,Wisconsin,Male,5,0.0,63.0,8.0,0.0,5.0,1.0
2623,Wisconsin,Male,15,1.0,467.0,1.0,4.0,6.0,12.0
2625,Wisconsin,Male,25,21.0,963.0,16.0,7.0,7.0,31.0
2627,Wisconsin,Male,35,41.0,1229.0,39.0,13.0,5.0,70.0
2629,Wisconsin,Male,45,146.0,2109.0,92.0,34.0,11.0,215.0
2631,Wisconsin,Male,55,388.0,5313.0,329.0,120.0,12.0,608.0
2632,Wisconsin,Male,65,925.0,8503.0,659.0,351.0,23.0,1254.0
2633,Wisconsin,Male,75,1270.0,9712.0,962.0,501.0,22.0,1753.0
2634,Wisconsin,Male,85,1358.0,10174.0,916.0,454.0,17.0,1837.0
2636,Wisconsin,Female,0,0.0,181.0,2.0,0.0,0.0,6.0
2638,Wisconsin,Female,1,0.0,24.0,0.0,0.0,0.0,0.0
2639,Wisconsin,Female,5,0.0,52.0,0.0,0.0,0.0,0.0
2640,Wisconsin,Female,15,7.0,177.0,3.0,5.0,3.0,5.0
2642,Wisconsin,Female,25,12.0,412.0,11.0,7.0,6.0,22.0
2644,Wisconsin,Female,35,27.0,609.0,28.0,8.0,8.0,53.0
2646,Wisconsin,Female,45,85.0,1304.0,68.0,23.0,4.0,136.0
2648,Wisconsin,Female,55,233.0,3361.0,226.0,79.0,10.0,390.0
2649,Wisconsin,Female,65,536.0,5704.0,414.0,181.0,4.0,777.0
2650,Wisconsin,Female,75,987.0,8599.0,641.0,300.0,20.0,1348.0
2651,Wisconsin,Female,85,1737.0,15811.0,954.0,406.0,25.0,2309.0
2670,Wyoming,Male,0,0.0,13.0,0.0,0.0,0.0,0.0
2672,Wyoming,Male,1,0.0,3.0,0.0,0.0,0.0,0.0
2673,Wyoming,Male,5,0.0,7.0,0.0,0.0,0.0,0.0
2674,Wyoming,Male,15,0.0,60.0,8.0,0.0,0.0,7.0
2676,Wyoming,Male,25,4.0,126.0,3.0,1.0,7.0,7.0
2678,Wyoming,Male,35,8.0,161.0,3.0,8.0,0.0,4.0
2680,Wyoming,Male,45,14.0,210.0,16.0,2.0,0.0,23.0
2682,Wyoming,Male,55,35.0,548.0,28.0,14.0,0.0,49.0
2683,Wyoming,Male,65,79.0,841.0,83.0,53.0,2.0,111.0
2684,Wyoming,Male,75,98.0,879.0,103.0,52.0,0.0,149.0
2685,Wyoming,Male,85,81.0,767.0,85.0,29.0,0.0,137.0
2687,Wyoming,Female,0,0.0,14.0,0.0,0.0,0.0,0.0
2689,Wyoming,Female,1,0.0,7.0,0.0,0.0,0.0,0.0
2690,Wyoming,Female,5,0.0,7.0,0.0,0.0,0.0,0.0
2691,Wyoming,Female,15,0.0,20.0,0.0,0.0,0.0,0.0
2693,Wyoming,Female,25,4.0,46.0,2.0,6.0,2.0,6.0
2695,Wyoming,Female,35,3.0,64.0,8.0,4.0,0.0,2.0
2697,Wyoming,Female,45,8.0,144.0,11.0,0.0,2.0,20.0
2699,Wyoming,Female,55,22.0,324.0,29.0,14.0,7.0,39.0
2700,Wyoming,Female,65,56.0,534.0,54.0,28.0,5.0,84.0
2701,Wyoming,Female,75,91.0,782.0,92.0,39.0,0.0,144.0
2702,Wyoming,Female,85,117.0,1114.0,91.0,36.0,8.0,173.0
2721,Puerto Rico,Male,0,0.0,73.0,0.0,0.0,0.0,0.0
2723,Puerto Rico,Male,1,0.0,17.0,0.0,0.0,3.0,4.0
2724,Puerto Rico,Male,5,0.0,11.0,3.0,0.0,0.0,8.0
2725,Puerto Rico,Male,15,2.0,240.0,7.0,3.0,0.0,2.0
2727,Puerto Rico,Male,25,12.0,509.0,24.0,6.0,6.0,29.0
2729,Puerto Rico,Male,35,38.0,717.0,75.0,25.0,0.0,88.0
2731,Puerto Rico,Male,45,105.0,1200.0,150.0,70.0,4.0,190.0
2733,Puerto Rico,Male,55,164.0,2342.0,305.0,107.0,10.0,370.0
2734,Puerto Rico,Male,65,304.0,3943.0,632.0,218.0,4.0,725.0
2735,Puerto Rico,Male,75,317.0,4912.0,819.0,225.0,8.0,918.0
2736,Puerto Rico,Male,85,195.0,4190.0,641.0,132.0,1.0,710.0
2738,Puerto Rico,Female,0,0.0,76.0,8.0,0.0,0.0,7.0
2740,Puerto Rico,Female,1,0.0,6.0,0.0,0.0,0.0,0.0
2741,Puerto Rico,Female,5,3.0,10.0,0.0,0.0,0.0,7.0
2742,Puerto Rico,Female,15,8.0,69.0,5.0,7.0,0.0,8.0
2744,Puerto Rico,Female,25,8.0,128.0,10.0,4.0,2.0,16.0
2746,Puerto Rico,Female,35,15.0,245.0,25.0,2.0,0.0,31.0
2748,Puerto Rico,Female,45,51.0,584.0,93.0,38.0,4.0,110.0
2750,Puerto Rico,Female,55,123.0,1314.0,214.0,90.0,4.0,250.0
2751,Puerto Rico,Female,65,199.0,2596.0,402.0,147.0,1.0,458.0
2752,Puerto Rico,Female,75,232.0,4186.0,649.0,153.0,16.0,743.0
2753,Puerto Rico,Female,85,218.0,6043.0,787.0,135.0,29.0,898.0
